iter	RMSE
0	0.1387726708
1	0.1302848187
2	0.1246902703
3	0.1209089028
4	0.1146363795
5	0.1115834775
6	0.1092934165
7	0.1064985627
8	0.1034514379
9	0.1024861022
10	0.1020139904
11	0.1009958955
12	0.0992630364
13	0.09822923014
14	0.09779611427
15	0.09655759181
16	0.09573643905
17	0.09441839862
18	0.0938865679
19	0.09293491066
20	0.09226782154
21	0.09189588299
22	0.09176929362
23	0.09115344761
24	0.09070340941
25	0.08995433131
26	0.08951677448
27	0.08898269093
28	0.08828303193
29	0.08800252059
30	0.08736782188
31	0.08663697285
32	0.08623863527
33	0.08553837919
34	0.08513122252
35	0.08492903342
36	0.08430206536
37	0.0841101723
38	0.08365475497
39	0.08256294159
40	0.0818630564
41	0.08162818472
42	0.081204765
43	0.08086502419
44	0.08024830757
45	0.0801660091
46	0.0796004745
47	0.07938935513
48	0.07931785881
49	0.0790010874
50	0.07861819594
51	0.07814094585
52	0.07802382151
53	0.07769938306
54	0.07730996847
55	0.07694796148
56	0.07647049749
57	0.0761095969
58	0.07584307977
59	0.07569042161
60	0.07537079585
61	0.07503969036
62	0.07469701149
63	0.07464983481
64	0.07422875139
65	0.07396112513
66	0.07359780143
67	0.07325292479
68	0.07294846681
69	0.07270453404
70	0.0724317684
71	0.07218535813
72	0.07181412548
73	0.0713729334
74	0.07109233616
75	0.07063148671
76	0.07035649098
77	0.06988774978
78	0.06954766652
79	0.06926505016
80	0.06906070227
81	0.06886352835
82	0.06861566704
83	0.06852887603
84	0.06843805083
85	0.06807257146
86	0.06793866008
87	0.06770528125
88	0.06755228586
89	0.06741513916
90	0.06708239236
91	0.06706246342
92	0.06685206396
93	0.06667394803
94	0.06646146254
95	0.06625810968
96	0.06600711042
97	0.06581200662
98	0.06557758791
99	0.06554654479
